"Nazwa","Wybieranie","Bany"
"Aatrox",22,58
"Yuumi",8,68
"Sejuani",30,42
"Caitlyn",8,62
"Azir",37,29
"Sylas",32,28
"Graves",25,34
"Maokai",21,35
"Lucian",26,29
"Viego",30,18
"Akali",24,24
"Fiora",19,23
"Renata Glasc",21,20
"Aphelios",31,8
"Renekton",16,23
"Viktor",19,16
"Kalista",18,13
"Ornn",16,15
"Nami",26,1
"Varus",19,8
"Lee Sin",15,8
"Poppy",13,9
"LeBlanc",8,14
"Camille",11,10
"Heimerdinger",8,13
"Vi",12,6
"Nautilus",7,11
"Lulu",15,1
"Jax",11,5
"Jarvan IV",8,8
"Gragas",11,3
"Gnar",9,5
"Taliyah",7,7
"Lissandra",5,9
"Kai'Sa",8,5
"Thresh",7,6
"Ashe",6,7
"Draven",6,7
"Soraka",9,3
"Leona",9,3
"Trundle",7,5
"Ryze",4,8
"Amumu",6,5
"Bel'Veth",6,5
"Sivir",8,2
"Karma",7,3
"Tristana",6,4
"Yone",5,5
"Miss Fortune",8,1
"Rell",6,3
"Gangplank",4,5
"Lux",7,1
"Tahm Kench",6,2
"Ezreal",5,3
"Kindred",4,4
"Galio",4,4
"Syndra",5,2
"Ahri",5,1
"Sett",5,1
"Hecarim",4,2
"Jinx",4,2
"Seraphine",4,2
"Senna",3,3
"Nidalee",2,4
"Pyke",1,5
"Jayce",3,2
"Kennen",3,2
"Braum",2,2
"Alistar",2,2
"Kayn",2,2
"Orianna",3,0
"Swain",2,1
"Karthus",1,2
"Nocturne",1,2
"Bard",2,0
"Blitzcrank",2,0
"Gwen",2,0
"Jhin",2,0
"Xayah",2,0
"Rakan",1,1
"Darius",1,1
"Fiddlesticks",1,1
"Singed",1,1
"Mordekaiser",0,2
"Nilah",0,2
"Shen",1,0
"Anivia",1,0
"Irelia",1,0
"Malphite",1,0
"Nasus",1,0
"Rumble",1,0
"Wukong",1,0
"Xin Zhao",1,0
"Olaf",0,1
