"Kraj","Rola","Zawodnik","Druzyna"
"South Korea","Top Laner","Ssumday","100 Thieves"
"Turkey","Jungler","Closer","100 Thieves"
"Germany","Mid Laner","Abbedagge","100 Thieves"
"Australia","Bot Laner","FBI","100 Thieves"
"South Korea","Support","huhi","100 Thieves"
"Australia","Top Laner","Fudge","Cloud9"
"United States","Jungler","Blaber","Cloud9"
"Denmark","Mid Laner","Jensen","Cloud9"
"South Korea","Bot Laner","Berserker","Cloud9"
"Denmark","Support","Zven","Cloud9"
"Taiwan","Top Laner","Rest","CTBC Flying Oyster"
"Taiwan","Jungler","Gemini","CTBC Flying Oyster"
"Taiwan","Mid Laner","Mission","CTBC Flying Oyster"
"Taiwan","Bot Laner","Shunn","CTBC Flying Oyster"
"Taiwan","Bot Laner","Atlen","CTBC Flying Oyster"
"Taiwan","Support","Koala","CTBC Flying Oyster"
"South Korea","Top Laner","Kingen","DRX"
"South Korea","Jungler","Juhan","DRX"
"South Korea","Jungler","Pyosik","DRX"
"South Korea","Mid Laner","Zeka","DRX"
"South Korea","Bot Laner","Deft","DRX"
"South Korea","Support","BeryL","DRX"
"South Korea","Top Laner","Nuguri","DWG KIA"
"South Korea","Jungler","Canyon","DWG KIA"
"South Korea","Mid Laner","ShowMaker","DWG KIA"
"South Korea","Bot Laner","deokdam","DWG KIA"
"South Korea","Support","Kellin","DWG KIA"
"China","Top Laner","Flandre","EDward Gaming"
"China","Jungler","JieJie","EDward Gaming"
"South Korea","Mid Laner","Scout","EDward Gaming"
"South Korea","Bot Laner","Viper","EDward Gaming"
"China","Support","Meiko","EDward Gaming"
"South Korea","Top Laner","Impact","Evil Geniuses"
"Poland","Jungler","Inspired","Evil Geniuses"
"Canada","Mid Laner","jojopyun","Evil Geniuses"
"Turkey","Bot Laner","Kaori","Evil Geniuses"
"Canada","Support","Vulcan","Evil Geniuses"
"Denmark","Top Laner","Wunder","Fnatic"
"Spain","Jungler","Razork","Fnatic"
"Czech Republic","Mid Laner","Humanoid","Fnatic"
"Germany","Bot Laner","Upset","Fnatic"
"Bulgaria","Support","Hylissang","Fnatic"
"Germany","Top Laner","BrokenBlade","G2 Esports"
"Poland","Jungler","Jankos","G2 Esports"
"Denmark","Mid Laner","caPs","G2 Esports"
"Spain","Bot Laner","Flakked","G2 Esports"
"Belgium","Support","Targamas","G2 Esports"
"Vietnam","Top Laner","Kiaya","GAM Esports"
"Vietnam","Jungler","Levi","GAM Esports"
"Vietnam","Mid Laner","Kati","GAM Esports"
"Vietnam","Bot Laner","Sty1e","GAM Esports"
"Vietnam","Support","Bie","GAM Esports"
"South Korea","Top Laner","Doran","Gen.G"
"South Korea","Jungler","Peanut","Gen.G"
"South Korea","Mid Laner","Chovy","Gen.G"
"South Korea","Bot Laner","Ruler","Gen.G"
"South Korea","Support","Lehends","Gen.G"
"China","Top Laner","369","JD Gaming"
"South Korea","Jungler","Kanavi","JD Gaming"
"China","Mid Laner","Yagao","JD Gaming"
"China","Bot Laner","Hope","JD Gaming"
"China","Support","Missing","JD Gaming"
"Romania","Top Laner","Odoamne","Rogue"
"South Korea","Jungler","Malrang","Rogue"
"Sweden","Mid Laner","Larssen","Rogue"
"Greece","Bot Laner","Comp","Rogue"
"Poland","Support","Trymbi","Rogue"
"China","Top Laner","Breathe","Royal Never Give Up"
"China","Jungler","Wei","Royal Never Give Up"
"China","Mid Laner","Xiaohu","Royal Never Give Up"
"China","Bot Laner","GALA","Royal Never Give Up"
"China","Support","Ming","Royal Never Give Up"
"South Korea","Top Laner","Zeus","T1"
"South Korea","Jungler","Oner","T1"
"South Korea","Mid Laner","Faker","T1"
"South Korea","Bot Laner","Gumayusi","T1"
"South Korea","Support","Keria","T1"
"China","Top Laner","Wayward","Top Esports"
"China","Jungler","Tian","Top Esports"
"China","Mid Laner","knight","Top Esports"
"China","Bot Laner","JackeyLove","Top Esports"
"China","Support","Mark","Top Esports"
